vOTU;Lowest_taxon;Oct_2019;Feb_2020;Jul_2020;Oct_2020;Dec_2020;Feb_2021;Apr_2021;Jul_2021;Aug_2021;Nov_2021;Feb_2022;May_2022;Jul_2022;Oct_2022
D150_0000111430__full;g__Parasynechococcus OR g__Synechococcus_C;0;0;0;0;0;0;0;0;0;0;0;0;0,926992953;0
D150_0000137489__full;g__Parasynechococcus OR g__Synechococcus_C;0;5,171683113;0,766011341;0,544857324;0;0;0;0,253854737;0;0,254986022;1,156840232;0,225172247;5,481995852;2,029114686
D162_0000296757__full;g__Parasynechococcus OR g__Synechococcus_C;0;0;0;0;0;0;0;0;0;0;0;0;0;1,606950975
D150_0000262226__full;g__Parasynechococcus OR g__Synechococcus_C OR g__Prochlorococcus_C;0;0;0,489508017;0;0;0;0;0;0;0;0;0;0,986231519;0
D44_0000150389__full;g__Prochlorococcus_C OR g__Parasynechococcus;0;0;0;1,902755135;0;0;0;0;0;0;0;0;0;0
D32_0000135662__full;g__Prochlorococcus_C OR g__Parasynechococcus OR g__Synechococcus_C;0;0;1,674512471;0;0;0;0;0;0;0;0;0;0;0
D44_0000191695__full;g__Prochlorococcus_C OR g__Parasynechococcus OR g__Synechococcus_C;0;0;0;1,390684006;0,180542535;0;0;0;0;0;0;0;0;0
D26_0000004189__full;g__Synechococcus_C;0;1,791488247;0,282120582;0,472684005;0;0;0;0,424820494;0;0,445422585;1,280699016;0,158659865;0,734590921;0,840539524
D26_0000130298__full;g__Synechococcus_C;1,456441639;2,567506537;0;0;0;0;0;0;0;0;0;0;0;0
D4_0000011272__full;g__Synechococcus_C;11,80104561;5,758423969;1,570468123;0;0;0;0;0,257224337;0;0,70929884;0,386536546;0,492663635;2,267514879;0,988212629
D4_0000086114__full;g__Synechococcus_C;1,951391309;2,28249186;0;0;0;0;0;0;0;0;0;0;0;0
D4_0000088495__full;g__Synechococcus_C;1,686507283;1,928312591;0;0;0;0;0;0;0;0;0;0;0;0
D86_0000142986__full;g__Synechococcus_C;0;0;0;0,467305718;0;0;0;1,490207626;0;0;0;0;0;0
D86_0000179062__full;g__Synechococcus_C;0;0;0;3,115055244;0,347606126;0;0;5,151829798;0,64348375;0,499838816;0,317600798;0,215053162;0;0
D86_0000288581__full;g__Synechococcus_C;0;0;0;0,731564249;0;0;0;1,53485619;0;0;0;0;0,253361664;0
D115B_0000166420__full;g__Synechococcus_C;4,928395207;3,446704272;0;0;0;0;0;0;0;0,500683358;0;0;0;0
D115B_0000182500__full;g__Synechococcus_C;0;0;0;0;0;0;0;0;0;0,507988308;0;0;0;0
D150_0000336560__full;g__Synechococcus_C;0;0;0,247245738;0,271585356;0;0;0;0;0;0;0;0;1,845292057;0,531615536
D150_0000337477__full;g__Synechococcus_C;0;0,198106667;0;0;0;0;0;0;0;0,161101302;0;0;1,22828327;0
D162_0000119558__full;g__Synechococcus_C;0;0;0;0;0;0;0;0;0;0;0;0;0;0,72801138
D162_0000155242__full;g__Synechococcus_C;0;0;0;0;0;0;0;0;0;0,269755781;0;0,16989297;0;0,800625774
D162_0000225360__full;g__Synechococcus_C;0;0;0;0;0;0;0;0;0;0;0;0;0;0,917330637
D26_0000292137__full;g__Synechococcus_C OR g__Parasynechococcus;0,384586937;0,998590441;0;0;0;0;0;0;0;0;0;0;0;0
D32_0000040850__full;g__Synechococcus_C OR g__Parasynechococcus;0;0;1,787148138;0;0;0;0;0;0;0;0;0;0,556747379;0,432889816
D86_0000212199__full;g__Synechococcus_C OR g__Parasynechococcus;0;0;0,237509585;0;0;0;0;1,375822862;0;0;0;0,44477625;0,506173882;0
D150_0000205219__full;g__Synechococcus_C OR g__Parasynechococcus;0;0;0;0;0;0;0;0;0;0;0;0;0,81559734;0
D150_0000225554__full;g__Synechococcus_C OR g__Parasynechococcus;0;1,671626258;0;0;0;0;0;0,29701144;0;0;0;0;0,886684046;0,335263819
D162_0000013232__full;g__Synechococcus_C OR g__Parasynechococcus;0;0;0,434368023;0;0;0;0;0;0;0;0;0;0;0,769637804
D162_0000053214__full;g__Synechococcus_C OR g__Parasynechococcus;0,619609471;0;0;0;0;0;0;0;0;0;0;0;0;1,059194406
D162_0000204969__full;g__Synechococcus_C OR g__Parasynechococcus;0;0;0;0;0;0;0;0;0;0;0;0;0;0,780801357
D162_0000269460__full;g__Synechococcus_C OR g__Parasynechococcus;21,65201324;13,12502263;3,384286523;0;0,327241899;0;0,260747078;0,930267786;1,364526279;4,866571876;2,238126949;1,772815115;8,736793473;4,543197966
D138_0000048191__full;g__Synechococcus_C OR g__Prochlorococcus_C;0;0;0;0;0;0;0;0;0;0,280365047;0;0,433221601;0;0,7612723
